PRT_ID,AREA,INT_SQFT,DATE_SALE,DISTANT FROM THE MAINROAD,NUMBER OF BEDROOM,NUMBER OF BATHROOM,NUMBER OF ROOM,REGISTRATION FEE,COMMISSSION PRICE,SALES PRICE,,,Latitude,Longitude
P08607,Adyar,1182,24-10-2007,50,1,1,3,374948,39468,9867055,,,13.0067,80.257
P01632,Adyar,735,06-03-2012,67,1,1,2,284361,132702,9478710,,,13.0067,80.257
P00937,Chrompet,1089,19-04-2013,0,1,1,3,235305,45251,9050200,,,12.9489,80.1354
P09868,Velachery,1534,04-01-2005,6,2,1,4,284552,63234,7904210,,,12.9784,80.221
P08848,Anna Nagar,1622,26-07-2007,147,1,1,4,378840,209015,13063450,,,13.086,80.2103
P07681,KK Nagar,2198,04-09-2008,71,3,2,5,679249,122265,13584980,,,13.0378,80.2055
P00407,Chrompet,1293,09-05-2014,34,2,1,4,419714,157393,13116050,,,12.9489,80.1354
P06126,KK Nagar,1641,17-10-2009,178,2,1,4,460580,190239,10012600,,,13.0378,80.2055
P09763,Velachery,1950,03-09-2005,185,3,2,5,411601,84741,12105920,,,12.9784,80.221
P02652,Karapakkam,1245,26-08-2011,106,1,1,3,201653,113123,4918375,,,12.9346,80.2409
P06329,Chrompet,905,12-09-2009,144,1,1,3,223393,77032,7703200,,,12.9489,80.1354
P01701,KK Nagar,1496,24-02-2012,135,2,1,4,265641,137105,8569080,,,13.0378,80.2055
P09722,Velachery,1892,22-11-2005,38,3,2,5,449425,133613,12146620,,,12.9784,80.221
P04743,Velachery,1517,05-07-2010,40,2,1,4,408507,116716,11671620,,,12.9784,80.221
P06768,Adyar,1034,30-05-2009,73,1,1,3,277702,46284,9256740,,,13.0067,80.257
P06746,Velachery,1755,06-06-2009,142,2,1,4,581720,193907,14915900,,,12.9784,80.221
P00934,Anna Nagar,1622,20-04-2013,79,1,1,4,406434,243860,13547790,,,13.086,80.2103
P00899,Chrompet,1092,13-05-2013,89,1,1,3,246391,57491,8213040,,,12.9489,80.1354
P00566,Chrompet,821,02-01-2014,34,1,1,3,182600,65736,7304000,,,12.9489,80.1354
P07878,KK Nagar,1694,07-07-2008,72,2,1,4,353291,114300,10390900,,,13.0378,80.2055
P05305,Anna Nagar,1809,22-03-2010,177,2,1,5,518585,230482,19206870,,,13.086,80.2103
P02252,Karapakkam,1401,05-11-2011,20,2,2,4,438477,229204,9965375,,,12.9346,80.2409
P03571,Karapakkam,1470,26-02-2011,99,2,2,4,302694,172968,7207000,,,12.9346,80.2409
P00942,Chrompet,798,15-04-2013,166,1,1,2,253975,145129,9070550,,,12.9489,80.1354
P08304,Chrompet,764,21-02-2008,137,1,1,2,158766,90723,5670200,,,12.9489,80.1354
P07597,Chrompet,1135,25-09-2008,50,1,1,3,296102,148051,9253200,,,12.9489,80.1354
P06565,Karapakkam,939,23-07-2009,74,1,1,3,214700,38646,4294000,,,12.9346,80.2409
P06398,Karapakkam,1586,27-08-2009,59,2,2,4,586956,200424,14316000,,,12.9346,80.2409
P09293,T Nagar,1973,29-01-2007,63,2,1,5,885666,116535,23307000,,,13.0418,80.2332
P09021,Chrompet,1023,11-05-2007,44,1,1,3,282319,38941,9735150,,,12.9489,80.1354
P04325,Chrompet,884,22-09-2010,75,1,1,3,283410,45346,11336400,,,12.9489,80.1354
P05031,Anna Nagar,1640,14-05-2010,113,1,1,4,495645,194718,17701600,,,13.086,80.2103
P08918,Adyar,622,20-06-2007,60,1,1,2,216906,72302,6572900,,,13.0067,80.257
P05947,Anna Nagar,1880,23-11-2009,90,2,1,5,483229,214768,13423020,,,13.086,80.2103
P05350,KK Nagar,2413,13-03-2010,166,4,2,6,419905,170587,13122040,,,13.0378,80.2055
P07092,T Nagar,1649,28-02-2009,169,1,1,4,681808,113635,18939100,,,13.0418,80.2332
P08337,Velachery,1729,08-02-2008,144,2,1,4,396911,128036,12803570,,,12.9784,80.221
P00089,T Nagar,1942,20-12-2014,10,2,1,5,320599,61654,12330740,,,13.0418,80.2332
P00403,Chrompet,711,12-05-2014,116,1,1,2,249558,64402,8050270,,,12.9489,80.1354
P00717,Chrompet,885,19-09-2013,122,1,1,3,237422,107919,7194600,,,12.9489,80.1354
P06064,KK Nagar,1688,30-10-2009,148,2,1,4,547810,285318,11412700,,,13.0378,80.2055
P08625,Adyar,1236,17-10-2007,108,2,2,4,481414,24071,12035355,,,13.0067,80.257
P02917,Karapakkam,926,29-06-2011,98,1,1,3,288834,68770,6877000,,,12.9346,80.2409
P06881,KK Nagar,1686,30-04-2009,57,2,1,4,382817,196582,10346400,,,13.0378,80.2055
P05823,Karapakkam,1344,16-12-2009,129,2,2,4,453999,259428,10809500,,,12.9346,80.2409
P01492,KK Nagar,1437,02-04-2012,104,2,1,4,489629,102006,10200600,,,13.0378,80.2055
P06226,Karapakkam,1430,02-10-2009,17,2,2,4,238887,106172,6635750,,,12.9346,80.2409
P07481,Adyar,1081,26-10-2008,85,1,1,3,241416,6190,6190150,,,13.0067,80.257
P05518,Karapakkam,1352,09-02-2010,1,2,2,4,240768,123638,6507250,,,12.9346,80.2409
P06801,KK Nagar,1986,19-05-2009,109,3,2,5,476717,227008,11350400,,,13.0378,80.2055
P07373,Anna Nagar,1758,05-12-2008,164,1,1,4,713565,231426,19285540,,,13.086,80.2103
P04399,Karapakkam,607,08-09-2010,121,1,1,2,175699,117133,5856625,,,12.9346,80.2409
P07490,KK Nagar,2139,24-10-2008,136,3,2,5,424048,249440,12472000,,,13.0378,80.2055
P05417,KK Nagar,1488,28-02-2010,97,2,1,4,405211,202606,8441900,,,13.0378,80.2055
P09702,Velachery,1645,27-01-2006,96,2,1,4,250118,75793,7579320,,,12.9784,80.221
P05869,Chrompet,950,07-12-2009,177,1,1,3,273252,146385,9759000,,,12.9489,80.1354
P00534,Chrompet,928,25-01-2014,90,1,1,3,409985,62119,12423800,,,12.9489,80.1354
P07334,Velachery,1693,17-12-2008,145,2,1,4,604335,108470,15495760,,,12.9784,80.221
P08511,Velachery,1873,02-12-2007,0,3,2,5,363735,198401,11022270,,,12.9784,80.221
P04112,Adyar,721,04-11-2010,145,1,1,2,273800,60844,7605550,,,13.0067,80.257
P02262,Karapakkam,1190,03-11-2011,37,1,1,3,342613,127484,7967750,,,12.9346,80.2409
P03305,KK Nagar,1593,17-04-2011,9,2,1,4,402606,223670,8946800,,,13.0378,80.2055
P05447,Chrompet,786,22-02-2010,181,1,1,2,249610,83203,9244820,,,12.9489,80.1354
P02126,Chrompet,1195,06-12-2011,93,1,1,3,265183,29465,9821600,,,12.9489,80.1354
P06964,Velachery,1824,03-04-2009,187,3,2,5,273570,76942,8549060,,,12.9784,80.221
P08195,KK Nagar,1906,26-03-2008,81,3,2,5,792637,206086,15852740,,,13.0378,80.2055
P04311,Adyar,656,24-09-2010,20,1,1,2,280244,113849,8757635,,,13.0067,80.257
P08974,Chrompet,727,28-05-2007,84,1,1,2,218816,100992,8415990,,,12.9489,80.1354
P04824,Adyar,931,24-06-2010,37,1,1,3,367617,19871,9935595,,,13.0067,80.257
P09337,Velachery,1898,12-01-2007,108,3,2,5,581625,332357,16617860,,,12.9784,80.221
P08903,Anna Nagar,1698,27-06-2007,15,1,1,4,359949,198593,12412050,,,13.086,80.2103
P08975,T Nagar,1926,27-05-2007,193,2,1,5,633655,203675,22630540,,,13.0418,80.2332
P03906,Karapakkam,1481,17-12-2010,144,2,2,4,485174,178227,9901500,,,12.9346,80.2409
P08737,Anna Nagar,1506,06-09-2007,122,1,1,4,417996,177648,10449910,,,13.086,80.2103
P00163,Chrompet,1020,01-11-2014,95,1,1,3,206664,31794,7948600,,,12.9489,80.1354
P07499,Chrompet,889,21-10-2008,196,1,1,3,300256,136480,9098680,,,12.9489,80.1354
P01939,Chrompet,1015,11-01-2012,147,1,1,3,275314,66743,8342850,,,12.9489,80.1354
P03550,T Nagar,1682,04-03-2011,78,1,1,4,690507,111974,18662350,,,13.0418,80.2332
P00920,Chrompt,869,01-05-2013,39,1,1,3,220661,138935,8172630,,,,
P01500,Karapakkam,1445,29-03-2012,20,2,2,4,216691,87848,5856500,,,12.9346,80.2409
P00340,Anna Nagar,1919,25-06-2014,178,2,1,5,544054,117633,14704160,,,13.086,80.2103
P02832,Adyar,1243,17-07-2011,141,2,2,4,440895,26721,13360440,,,13.0067,80.257
P04417,Karapakkam,857,05-09-2010,158,1,1,2,236556,59139,4928250,,,12.9346,80.2409
P05246,Karapakkam,1055,03-04-2010,174,1,1,3,226769,117042,7315125,,,12.9346,80.2409
P02863,KK Nagar,1778,10-07-2011,94,3,2,5,340948,153976,10998320,,,13.0378,80.2055
P03006,Karapakkam,851,15-06-2011,124,1,1,2,181073,39364,3936375,,,12.9346,80.2409
P08264,Chrompet,1021,06-03-2008,82,1,1,3,276053,147228,9201770,,,12.9489,80.1354
P04420,KK Nagar,2203,04-09-2010,76,3,2,5,572520,339934,17891240,,,13.0378,80.2055
P04928,Karapakkam,613,01-06-2010,81,1,1,2,195491,66879,5144500,,,12.9346,80.2409
P08752,Adyar,738,02-09-2007,69,1,1,2,324194,8313,8312670,,,13.0067,80.257
P03833,Karapakkam,1489,03-01-2011,177,2,2,4,384348,200181,8007250,,,12.9346,80.2409
P06156,Karapakkam,795,11-10-2009,73,1,1,2,254378,127189,8479250,,,12.9346,80.2409
P01763,Velachery,1909,11-02-2012,11,3,2,5,303875,212712,10129160,,,12.9784,80.221
P02399,Chrompet,1252,12-10-2011,190,2,1,4,265502,47411,9482200,,,12.9489,80.1354
P03260,Karapakkam,1077,24-04-2011,144,1,1,3,305249,246169,9846750,,,12.9346,80.2409
P08138,KK Nagar,1524,11-04-2008,73,2,1,4,303654,208220,8675820,,,13.0378,80.2055
P07941,Chrompet,1049,16-06-2008,36,1,1,3,328398,133412,10262450,,,12.9489,80.1354
P08181,Velachery,1780,29-03-2008,194,2,1,4,329500,130066,8671050,,,12.9784,80.221
P07510,Chrompet,946,18-10-2008,14,1,1,3,368463,111656,11165550,,,12.9489,80.1354
P07420,Chrompet,906,18-11-2008,116,1,1,3,302874,28394,9464800,,,12.9489,80.1354
P04010,KK Nagar,2344,25-11-2010,71,4,2,6,622046,471247,18849880,,,13.0378,80.2055
P06446,Adyar,929,18-08-2009,76,1,1,3,341295,75843,9480425,,,13.0067,80.257
P06517,Anna Nagar,1843,02-08-2009,158,2,1,5,318884,147177,12264750,,,13.086,80.2103
P06871,Anna Nagar,1918,02-05-2009,187,2,1,5,809377,218751,21875050,,,13.086,80.2103
P07432,KK Nagar,1507,10-11-2008,54,2,1,4,636313,243694,13538580,,,13.0378,80.2055
P03326,KK Nagar,1499,13-04-2011,89,2,1,4,372805,186403,8876320,,,13.0378,80.2055
P01979,KK Nagar,1526,04-01-2012,64,2,1,4,518512,327481,13645040,,,13.0378,80.2055
P07185,Anna Nagar,1855,26-01-2009,82,2,1,5,839848,188966,20996200,,,13.086,80.2103
P03108,Karapakkam,1627,25-05-2011,39,2,2,4,308418,99782,9071125,,,12.9346,80.2409
P05849,Velachery,1846,11-12-2009,28,3,2,5,378554,129790,10815830,,,12.9784,80.221
P04250,KK Nagar,2019,06-10-2010,65,3,2,5,601718,230445,12802500,,,13.0378,80.2055
P03292,Karapakkam,1578,18-04-2011,153,2,2,4,295508,238313,9532500,,,12.9346,80.2409
P08027,Velachery,1780,16-05-2008,115,2,1,4,453788,173507,13346700,,,12.9784,80.221
P03347,Karapakkam,662,10-04-2011,148,1,1,2,143765,65348,4356500,,,12.9346,80.2409
P05714,Chrompet,1005,06-01-2010,17,1,1,3,355456,183857,12257100,,,12.9489,80.1354
P04299,Karapakkam,839,27-09-2010,102,1,1,2,192724,49206,4100500,,,12.9346,80.2409
P07890,Anna Nagar,1698,02-07-2008,76,1,1,4,403460,80692,11527430,,,13.086,80.2103
P08044,Adyar,878,12-05-2008,16,1,1,3,225847,6453,6452785,,,13.0067,80.257
P07866,Chrompet,835,09-07-2008,77,1,1,3,227738,33739,8434750,,,12.9489,80.1354
P03262,Chrompet,911,24-04-2011,84,1,1,3,245118,37139,7427820,,,12.9489,80.1354
P09528,Velachery,1796,24-10-2006,176,2,1,4,318687,118370,9105350,,,12.9784,80.221
P06089,Karapakkam,1004,25-10-2009,182,1,1,3,193582,75544,4721500,,,12.9346,80.2409
P05826,Anna Nagar,1694,16-12-2009,86,1,1,4,377250,213775,12575010,,,13.086,80.2103
P02984,Karapakkam,1244,18-06-2011,50,1,1,3,246535,143150,7952750,,,12.9346,80.2409
P05451,Karapakkam,588,21-02-2010,163,1,1,2,228220,57055,5705500,,,12.9346,80.2409
P03403,KK Nagar,2342,02-04-2011,69,4,2,6,567545,180582,12898740,,,13.0378,80.2055
P08753,Velachery,1835,01-09-2007,88,3,2,5,418181,182284,10722580,,,12.9784,80.221
P08480,Anna Nagar,1977,17-12-2007,84,2,1,5,423089,211544,14102960,,,13.086,80.2103
P03822,KK Nagar,1961,06-01-2011,104,3,2,5,792581,387484,17612900,,,13.0378,80.2055
P09994,Velachery,1517,24-04-2004,82,2,1,4,257288,85763,7146890,,,12.9784,80.221
P06686,KK Nagar,2409,26-06-2009,103,4,2,6,606442,242577,13476480,,,13.0378,80.2055
P09839,Velachery,1864,16-03-2005,187,3,2,5,528520,181207,15100560,,,12.9784,80.221
P07907,Velachery,1643,27-06-2008,52,2,1,4,577164,249584,15599020,,,12.9784,80.221
P01575,Adyar,1015,15-03-2012,76,1,1,3,370412,112246,11224620,,,13.0067,80.257
P05854,Anna Nagar,1700,10-12-2009,135,1,1,4,424219,174679,12477040,,,13.086,80.2103
P05279,Karapakkam,624,25-03-2010,34,1,1,2,202228,92321,4396250,,,12.9346,80.2409
P08056,Chrompet,980,08-05-2008,84,1,1,3,380824,130908,11900750,,,12.9489,80.1354
P05180,Karapakkam,1003,14-04-2010,196,1,1,3,373330,161440,10090000,,,12.9346,80.2409
P06772,Adyar,1072,29-05-2009,66,1,1,3,264308,33038,6607690,,,13.0067,80.257
P05622,Karapakkam,808,23-01-2010,119,1,1,2,161577,90293,4752250,,,12.9346,80.2409
P03766,Chrompet,1027,14-01-2011,131,1,1,3,215799,44648,7441350,,,12.9489,80.1354
P05493,Karapakkam,696,14-02-2010,84,1,1,2,212561,77295,6441250,,,12.9346,80.2409
P05498,Velachery,1716,13-02-2010,86,2,1,4,414394,155398,10359860,,,12.9784,80.221
P03329,Velachery,1878,12-04-2011,18,3,2,5,573149,257917,14328720,,,12.9784,80.221
P02091,KK Nagar,1699,12-12-2011,98,2,1,4,457764,125885,11444100,,,13.0378,80.2055
P01651,KK Nagar,1626,03-03-2012,188,2,1,4,348490,135524,9680280,,,13.0378,80.2055
P07585,KK Nagar,1730,27-09-2008,200,2,1,4,589574,235830,14739360,,,13.0378,80.2055
P09195,Chrompet,996,03-03-2007,78,1,1,3,295007,151974,8939620,,,12.9489,80.1354
P00166,Chrmpet,1277,29-10-2014,111,2,1,4,518443,47131,15710400,,,,
P00927,Chrompet,906,29-04-2013,64,1,1,3,327251,30680,10226600,,,12.9489,80.1354
P01999,Anna Nagar,1976,31-12-2011,112,2,1,5,369002,110700,12300050,,,13.086,80.2103
P04891,Velachery,1776,09-06-2010,120,2,1,4,319653,89903,9989170,,,12.9784,80.221
P03800,Karapakkam,1402,08-01-2011,112,2,2,4,257761,111464,6966500,,,12.9346,80.2409
P07958,Chrompet,1160,11-06-2008,138,1,1,3,255525,104103,9463900,,,12.9489,80.1354
P09676,Velachery,1957,17-03-2006,134,3,2,5,547180,243191,15199450,,,12.9784,80.221
P01737,T Nagar,1887,17-02-2012,48,2,1,5,573985,348491,20499450,,,13.0418,80.2332
P07362,Velachery,1859,08-12-2008,142,3,2,5,297756,138953,9925210,,,12.9784,80.221
P09402,Chrompet,747,21-12-2006,168,1,1,2,336707,157130,11223550,,,12.9489,80.1354
P06908,Adyar,985,21-04-2009,159,1,1,3,265662,44277,7379505,,,13.0067,80.257
P01178,Chrompet,1024,11-11-2012,77,1,1,3,302285,108823,12091400,,,12.9489,80.1354
P05817,Velachery,1600,17-12-2009,148,2,1,4,315906,94772,10530200,,,12.9784,80.221
P00699,Chrompet,1276,10-10-2013,141,2,1,4,316936,163270,9604120,,,12.9489,80.1354
P04841,Chrompet,1159,20-06-2010,90,1,1,3,253758,108754,9062800,,,12.9489,80.1354
P01647,Karapakkam,1024,03-03-2012,142,1,1,3,166198,94970,4748500,,,12.9346,80.2409
P04590,Adyar,1249,04-08-2010,93,2,2,4,417195,176992,12642285,,,13.0067,80.257
P03908,Chrompet,839,17-12-2010,175,1,1,3,255008,72859,9107430,,,12.9489,80.1354
P08794,Chrompet,1286,16-08-2007,105,2,1,4,292906,118993,9153300,,,12.9489,80.1354
P02451,KK Nagar,2467,02-10-2011,69,4,2,6,581942,139160,12650920,,,13.0378,80.2055
P04850,Karapakkam,653,18-06-2010,121,1,1,2,297775,160340,7635250,,,12.9346,80.2409
P05660,Karapakkam,606,16-01-2010,4,1,1,2,353430,117810,7854000,,,12.9346,80.2409
P09187,T Nagar,1837,05-03-2007,81,2,1,5,488298,105578,13197230,,,13.0418,80.2332
P02390,Velachery,1880,14-10-2011,95,3,2,5,437429,109357,13669670,,,12.9784,80.221
P03404,KK Nagar,2189,02-04-2011,1,3,2,5,547496,456247,18249860,,,13.0378,80.2055
P09067,Velachery,1853,22-04-2007,123,3,2,5,588293,279439,14707330,,,12.9784,80.221
P00330,Chrompet,1057,30-06-2014,200,1,1,3,228621,27435,9144840,,,12.9489,80.1354
P09285,Adyar,723,31-01-2007,49,1,1,2,329098,142609,10969920,,,13.0067,80.257
P05669,T Nagar,1812,15-01-2010,100,2,1,5,440951,232724,12248640,,,13.0418,80.2332
P07880,T Nagar,1788,06-07-2008,145,1,1,4,426755,156477,14225180,,,13.0418,80.2332
P09906,Velachery,1615,03-11-2004,31,2,1,4,288694,128308,8019280,,,12.9784,80.221
P00487,Anna Nagar,1755,10-03-2014,85,1,1,4,308078,182565,11410310,,,13.086,80.2103
